Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,State,City,Category,Sub_Category,Quantity,Unit_Price,Discount,Sales,Profit
ORD-100050,8/26/2023,9/2/2023,Standard Class,CUST-01021,Myra Verma,Corporate,West,Maharashtra,Nagpur,Technology,Printers,9,1631.15,0.15,12478.3,960.49
ORD-100051,6/16/2025,6/22/2025,Second Class,CUST-00191,Ayaan Reddy,Consumer,West,Maharashtra,Mumbai,Technology,Monitors,5,1898.6,0,9493,1985.01
ORD-100052,10/17/2025,10/23/2025,Standard Class,CUST-01888,Riya Pillai,Corporate,East,Assam,Guwahati,Office Supplies,Labels,9,956.78,0,8611.02,1871.3
ORD-100053,4/29/2025,5/2/2025,Second Class,CUST-00915,Kiara Das,Home Office,Central,Chhattisgarh,Raipur,Office Supplies,Pens,11,2724.55,0.3,20979.03,3090.4
ORD-100054,7/21/2025,7/24/2025,Standard Class,CUST-01360,Arjun Das,Consumer,South,Tamil Nadu,Coimbatore,Furniture,Sofas,8,10731.27,0.2,68680.13,11751.87
ORD-100055,11/10/2024,11/17/2024,Second Class,CUST-01601,Krishna Mehta,Consumer,North,Uttar Pradesh,Lucknow,Office Supplies,Labels,7,701.82,0,4912.74,495.13
ORD-100056,11/3/2024,11/10/2024,Standard Class,CUST-01887,Ishaan Singh,Home Office,Central,Chhattisgarh,Raipur,Office Supplies,Labels,2,883.46,0.05,1678.57,207.35
ORD-100057,7/25/2023,7/29/2023,Standard Class,CUST-00844,Prisha Nair,Corporate,South,Kerala,Kochi,Furniture,Chairs,7,23298.68,0,163090.76,29621.21
ORD-100058,5/8/2024,5/12/2024,Standard Class,CUST-01388,Kiara Nair,Corporate,Central,Madhya Pradesh,Bhopal,Office Supplies,Pens,1,1907.54,0.3,1335.28,421.01
ORD-100059,9/4/2024,9/10/2024,First Class,CUST-00736,Prisha Rao,Corporate,West,Rajasthan,Jodhpur,Technology,Laptops,2,36263.41,0.05,68900.48,6658.72
ORD-100060,3/21/2025,3/24/2025,First Class,CUST-00390,Riya Kumar,Corporate,North,Uttarakhand,Dehradun,Technology,Printers,4,40218.88,0.15,136744.19,25275.19
ORD-100061,10/8/2023,10/14/2023,Standard Class,CUST-00670,Saanvi Nair,Home Office,North,Delhi,Dwarka,Technology,Phones,3,36431.09,0,109293.27,29948.85
ORD-100062,1/19/2025,1/24/2025,Second Class,CUST-00155,Arjun Singh,Corporate,Central,Chhattisgarh,Raipur,Furniture,Sofas,6,8495.68,0,50974.08,2141.44
ORD-100063,1/19/2025,1/20/2025,Second Class,CUST-01685,Diya Reddy,Corporate,West,Maharashtra,Pune,Office Supplies,Labels,11,699.25,0.1,6922.57,1352.11
ORD-100064,11/2/2024,11/7/2024,Standard Class,CUST-00624,Aarohi Reddy,Home Office,South,Karnataka,Mysuru,Technology,Accessories,3,36901.66,0,110704.98,29357.04
ORD-100065,7/18/2025,7/21/2025,Second Class,CUST-00445,Myra Bose,Corporate,Central,Chhattisgarh,Raipur,Technology,Phones,5,809.37,0,4046.85,719.07
ORD-100066,1/22/2025,1/27/2025,Standard Class,CUST-00258,Prisha Patel,Corporate,East,West Bengal,Howrah,Furniture,Chairs,4,10901.35,0,43605.4,-1123.95
ORD-100067,3/18/2024,3/25/2024,Standard Class,CUST-01636,Sai Reddy,Consumer,South,Kerala,Kochi,Technology,Monitors,3,5834.01,0,17502.03,2352.34
ORD-100068,5/2/2024,5/7/2024,Standard Class,CUST-01594,Diya Pillai,Home Office,East,West Bengal,Kolkata,Furniture,Tables,2,23618.41,0,47236.82,3998.15
ORD-100069,3/30/2023,4/5/2023,Same Day,CUST-00222,Aarohi Bose,Consumer,Central,Chhattisgarh,Raipur,Office Supplies,Binders,14,1566,0.2,17539.2,4732.34
ORD-100070,5/15/2023,5/17/2023,Standard Class,CUST-01438,Vihaan Menon,Home Office,East,Assam,Guwahati,Office Supplies,Envelopes,9,1103.62,0.2,7946.06,2720.58
ORD-100071,4/12/2024,4/16/2024,Standard Class,CUST-00313,Aarohi Gupta,Corporate,East,Jharkhand,Ranchi,Office Supplies,Binders,11,2888.09,0.1,28592.09,4231.09
ORD-100072,2/2/2025,2/9/2025,Standard Class,CUST-01363,Saanvi Verma,Home Office,South,Telangana,Hyderabad,Office Supplies,Envelopes,2,1501.8,0.2,2402.88,387.43
ORD-100073,11/5/2025,11/7/2025,Standard Class,CUST-01654,Saanvi Menon,Home Office,South,Andhra Pradesh,Visakhapatnam,Technology,Accessories,13,13175.4,0.1,154152.18,9129.16
ORD-100074,2/23/2023,2/28/2023,Standard Class,CUST-00821,Aditya Iyer,Corporate,East,West Bengal,Kolkata,Furniture,Bookcases,3,15551.46,0,46654.38,5623.52
ORD-100075,12/22/2025,12/24/2025,Second Class,CUST-00319,Sai Shah,Corporate,West,Goa,Panaji,Office Supplies,Pens,13,173.41,0,2254.33,349.95
ORD-100076,5/18/2025,5/22/2025,Standard Class,CUST-01215,Aarohi Pillai,Consumer,Central,Chhattisgarh,Raipur,Furniture,Storage,2,22780.03,0.1,41004.05,2784.68
ORD-100077,4/23/2023,4/24/2023,Standard Class,CUST-00360,Arjun Chopra,Corporate,South,Kerala,Kochi,Technology,Accessories,1,6947.82,0.3,4863.47,838.28
ORD-100078,12/26/2024,12/27/2024,Second Class,CUST-00856,Ishaan Reddy,Corporate,West,Maharashtra,Pune,Furniture,Chairs,10,24652.74,0.2,197221.92,13492.16
ORD-100079,7/31/2025,8/7/2025,Second Class,CUST-00636,Ananya Singh,Corporate,East,West Bengal,Howrah,Technology,Laptops,9,30410.03,0,273690.27,65796.48
ORD-100080,8/22/2023,8/27/2023,Standard Class,CUST-00314,Aditya Nair,Consumer,Central,Madhya Pradesh,Indore,Office Supplies,Paper,5,728.16,0.05,3458.76,956.76
ORD-100081,7/8/2025,7/14/2025,Standard Class,CUST-00721,Anika Gupta,Corporate,Central,Chhattisgarh,Raipur,Furniture,Chairs,5,9700.35,0.1,43651.58,6393.26
ORD-100082,8/10/2024,8/11/2024,First Class,CUST-00975,Anika Iyer,Home Office,North,Uttarakhand,Dehradun,Office Supplies,Envelopes,8,1907.92,0.05,14500.19,3257.6
ORD-100083,12/4/2024,12/10/2024,Standard Class,CUST-01880,Ishaan Chopra,Corporate,North,Uttarakhand,Dehradun,Furniture,Sofas,10,2985.01,0,29850.1,5583.77
ORD-100084,11/16/2024,11/17/2024,Standard Class,CUST-00636,Aadhya Iyer,Consumer,East,West Bengal,Howrah,Office Supplies,Envelopes,10,975.92,0,9759.2,1272.21
ORD-100085,2/10/2025,2/16/2025,Standard Class,CUST-00439,Ananya Das,Home Office,East,Odisha,Bhubaneswar,Office Supplies,Labels,6,141.51,0.1,764.15,183.05
ORD-100086,8/28/2024,9/4/2024,Second Class,CUST-01419,Riya Nair,Consumer,North,Uttarakhand,Dehradun,Office Supplies,Envelopes,3,2039.14,0,6117.42,516.79
ORD-100087,5/1/2024,5/5/2024,Same Day,CUST-00398,Diya Kapoor,Corporate,Central,Chhattisgarh,Raipur,Furniture,Tables,13,13192.65,0.3,120053.11,7839.37
ORD-100088,2/21/2025,2/26/2025,First Class,CUST-01136,Vihaan Pillai,Consumer,Central,Chhattisgarh,Raipur,Technology,Monitors,1,29210.19,0.3,20447.13,1913.68
ORD-100089,7/12/2024,7/16/2024,First Class,CUST-00483,Aadhya Gupta,Corporate,Central,Madhya Pradesh,Indore,Furniture,Tables,1,17520.69,0.2,14016.55,-683.88
ORD-100090,11/17/2024,11/24/2024,First Class,CUST-00011,Aditya Sharma,Home Office,South,Tamil Nadu,Chennai,Office Supplies,Labels,13,2811.46,0.3,25584.29,2996.7
ORD-100091,12/16/2025,12/20/2025,Standard Class,CUST-01714,Aarohi Shah,Consumer,North,Haryana,Gurugram,Office Supplies,Binders,13,1036.38,0.3,9431.06,1043.43
ORD-100092,10/22/2023,10/25/2023,Standard Class,CUST-00739,Aditya Pillai,Corporate,West,Maharashtra,Nagpur,Office Supplies,Envelopes,11,2775.59,0,30531.49,9674.87
ORD-100093,2/11/2023,2/15/2023,Second Class,CUST-01502,Vihaan Kapoor,Corporate,West,Maharashtra,Nagpur,Office Supplies,Pens,6,788.67,0,4732.02,1221.79
ORD-100094,11/24/2024,12/1/2024,Second Class,CUST-00090,Reyansh Verma,Consumer,South,Andhra Pradesh,Visakhapatnam,Office Supplies,Paper,8,2455.32,0,19642.56,4515.91
ORD-100095,8/27/2025,8/30/2025,Standard Class,CUST-00820,Myra Chopra,Home Office,North,Punjab,Amritsar,Office Supplies,Binders,2,1598.36,0.15,2717.21,394.81
ORD-100096,1/22/2025,1/29/2025,Second Class,CUST-00658,Vihaan Gupta,Corporate,Central,Chhattisgarh,Raipur,Technology,Phones,14,4643.07,0,65002.98,17830.57
ORD-100097,5/22/2025,5/24/2025,Same Day,CUST-01306,Aadhya Joshi,Home Office,West,Rajasthan,Jodhpur,Furniture,Bookcases,5,22590.12,0,112950.6,16560.85
ORD-100098,3/5/2023,3/7/2023,Standard Class,CUST-01391,Myra Joshi,Home Office,Central,Chhattisgarh,Raipur,Furniture,Tables,7,9004.52,0,63031.64,5662.88
ORD-100099,12/20/2025,12/23/2025,Second Class,CUST-00242,Krishna Kumar,Consumer,West,Rajasthan,Jodhpur,Furniture,Chairs,8,18368.13,0.2,117556.03,23443.26
ORD-100100,10/2/2025,10/4/2025,First Class,CUST-01454,Aditya Menon,Consumer,North,Punjab,Ludhiana,Office Supplies,Labels,14,2663.52,0.15,31695.89,9209.76
ORD-100101,12/23/2023,12/30/2023,Standard Class,CUST-01173,Diya Bose,Consumer,East,Assam,Guwahati,Furniture,Tables,8,16337.17,0,130697.36,4813.32
ORD-100102,6/26/2023,6/27/2023,Standard Class,CUST-01393,Anika Joshi,Home Office,East,Jharkhand,Ranchi,Office Supplies,Labels,6,501.65,0,3009.9,971.02
ORD-100103,1/8/2024,1/15/2024,Standard Class,CUST-00462,Diya Pillai,Consumer,South,Andhra Pradesh,Visakhapatnam,Technology,Monitors,3,27486.09,0.15,70089.53,3665.63
ORD-100104,7/16/2024,7/18/2024,Same Day,CUST-01476,Riya Mehta,Home Office,East,Assam,Guwahati,Office Supplies,Paper,3,322.39,0,967.17,250.64
ORD-100105,2/28/2023,3/1/2023,Second Class,CUST-01118,Ishaan Rao,Corporate,North,Uttarakhand,Dehradun,Office Supplies,Envelopes,1,35.08,0.3,24.56,3.03
ORD-100106,9/1/2024,9/5/2024,Standard Class,CUST-01472,Ananya Joshi,Corporate,North,Delhi,New Delhi,Office Supplies,Labels,10,1655.23,0,16552.3,4416.35
ORD-100107,8/6/2023,8/9/2023,Standard Class,CUST-00857,Ayaan Nair,Consumer,South,Andhra Pradesh,Visakhapatnam,Furniture,Tables,5,16577.46,0.2,66309.84,4300.45
ORD-100108,1/24/2024,1/31/2024,Standard Class,CUST-00441,Prisha Joshi,Corporate,South,Andhra Pradesh,Visakhapatnam,Office Supplies,Pens,7,2142.29,0.3,10497.22,1512.2
ORD-100109,8/21/2025,8/24/2025,Standard Class,CUST-01151,Reyansh Joshi,Home Office,Central,Madhya Pradesh,Bhopal,Office Supplies,Pens,7,989.69,0.15,5888.66,-382.48
ORD-100110,7/26/2024,8/2/2024,First Class,CUST-00408,Riya Pillai,Corporate,Central,Madhya Pradesh,Bhopal,Technology,Printers,6,29408.66,0.15,149984.17,39341.73
ORD-100111,11/13/2024,11/20/2024,Standard Class,CUST-01263,Ishaan Kapoor,Consumer,West,Goa,Panaji,Office Supplies,Envelopes,10,1979.69,0.15,16827.37,3928.24
ORD-100112,9/5/2024,9/9/2024,Standard Class,CUST-00544,Prisha Kapoor,Home Office,North,Haryana,Faridabad,Office Supplies,Labels,12,299.15,0,3589.8,643.59
ORD-100113,12/9/2025,12/15/2025,Second Class,CUST-00904,Ananya Malhotra,Consumer,Central,Chhattisgarh,Raipur,Technology,Laptops,12,12301.51,0,147618.12,16385.23
ORD-100114,8/23/2025,8/30/2025,Standard Class,CUST-00702,Kiara Joshi,Home Office,North,Punjab,Ludhiana,Office Supplies,Labels,3,2919.57,0.3,6131.1,1141.22
ORD-100115,6/25/2024,6/30/2024,Same Day,CUST-01414,Aarohi Mehta,Consumer,West,Gujarat,Ahmedabad,Furniture,Bookcases,5,22387.53,0.1,100743.88,14731.55
ORD-100116,7/14/2024,7/17/2024,Same Day,CUST-00590,Aditya Joshi,Corporate,North,Uttarakhand,Dehradun,Technology,Printers,13,35869.1,0,466298.3,81909.62
ORD-100117,3/14/2024,3/16/2024,Second Class,CUST-01088,Ayaan Singh,Home Office,Central,Chhattisgarh,Raipur,Furniture,Storage,4,14761.07,0,59044.28,6996.96
ORD-100118,7/25/2023,7/31/2023,Second Class,CUST-01323,Vivaan Gupta,Corporate,South,Karnataka,Bengaluru,Office Supplies,Labels,13,601.82,0.1,7041.29,1936.79
ORD-100119,3/18/2023,3/20/2023,Standard Class,CUST-00019,Ishaan Kapoor,Corporate,West,Gujarat,Ahmedabad,Technology,Printers,12,12994.37,0.1,140339.2,7870.08
ORD-100120,7/19/2025,7/25/2025,Standard Class,CUST-00940,Krishna Nair,Corporate,Central,Chhattisgarh,Raipur,Technology,Printers,2,29223.52,0.15,,4683.71
ORD-100121,1/31/2024,2/2/2024,Second Class,CUST-01917,Ayaan Sharma,Corporate,Central,Chhattisgarh,Raipur,Office Supplies,Binders,3,2822.57,0,8467.71,2858.37
ORD-100122,11/6/2024,11/9/2024,Second Class,CUST-01406,Anika Rao,Consumer,Central,Madhya Pradesh,Indore,Office Supplies,Paper,8,2746.3,0.1,19773.36,3558.07
ORD-100123,1/22/2025,1/27/2025,Same Day,CUST-01870,Aarohi Menon,Home Office,South,Tamil Nadu,Chennai,Office Supplies,Labels,6,66.06,0.2,317.09,104.84
ORD-100124,6/17/2023,6/22/2023,First Class,CUST-00307,Sai Mehta,Consumer,West,Rajasthan,Jaipur,Technology,Phones,9,19554.19,0.05,167188.32,48762.76
ORD-100125,9/28/2025,9/29/2025,Standard Class,CUST-00632,Aarav Chopra,Corporate,Central,Chhattisgarh,Raipur,Office Supplies,Envelopes,-1,2891.59,0.3,2024.11,628.11
ORD-100126,5/30/2023,5/31/2023,Same Day,CUST-00369,Arjun Malhotra,Consumer,West,Rajasthan,Jaipur,Office Supplies,Binders,8,897.46,0,7179.68,1320.89
ORD-100127,2/12/2025,2/16/2025,Standard Class,CUST-01491,Ayaan Sharma,Consumer,North,Uttarakhand,Dehradun,Office Supplies,Pens,9,2556.39,0.2,18406.01,3047.46
ORD-100128,5/18/2025,5/23/2025,Standard Class,CUST-01260,Aarav Singh,Corporate,West,Gujarat,Ahmedabad,Office Supplies,Paper,12,525.09,0,6301.08,-865.19
ORD-100129,4/10/2023,4/12/2023,Standard Class,CUST-01499,Prisha Mehta,Consumer,North,Uttar Pradesh,Noida,Furniture,Tables,5,23454.95,0.05,111411.01,17737.3
ORD-100130,4/30/2024,5/3/2024,Second Class,CUST-00875,Kiara Das,Consumer,South,Telangana,Hyderabad,Office Supplies,Pens,10,1718.78,0,17187.8,1825.99
ORD-100131,2/19/2025,2/26/2025,Standard Class,CUST-00462,Ishaan Iyer,Corporate,Central,Chhattisgarh,Raipur,Office Supplies,Pens,9,1852.72,0.3,11672.14,4053.9
ORD-100132,5/3/2025,5/8/2025,Second Class,CUST-01484,Reyansh Verma,Corporate,Central,Madhya Pradesh,Indore,Furniture,Tables,8,4190.03,0.15,28492.2,3523.51
ORD-100133,5/30/2023,6/1/2023,Same Day,CUST-01971,Vihaan Das,Corporate,Central,Madhya Pradesh,Indore,Furniture,Bookcases,1,22032.43,0.05,20930.81,3519.59
ORD-100134,3/23/2025,3/25/2025,Standard Class,CUST-01019,Myra Reddy,Home Office,Central,Chhattisgarh,Raipur,Office Supplies,Envelopes,5,2097.11,0.15,8912.72,2403.5
ORD-100135,10/17/2024,10/19/2024,Standard Class,CUST-00402,Ananya Singh,Home Office,East,Bihar,Patna,Furniture,Tables,5,9499.69,0.2,37998.76,2991.2
ORD-100136,11/22/2024,11/25/2024,Standard Class,CUST-01822,Kiara Verma,Consumer,West,Goa,Panaji,Furniture,Bookcases,9,20386.54,0.3,128435.2,23378.12
ORD-100137,4/10/2023,4/17/2023,Second Class,CUST-00765,Vivaan Shah,Consumer,North,Uttar Pradesh,Lucknow,Technology,Laptops,1,39084.72,0.05,37130.48,10333.79
ORD-100138,9/26/2025,9/27/2025,Standard Class,CUST-01430,Saanvi Nair,Home Office,North,Uttarakhand,Dehradun,Furniture,Storage,5,13174.49,0,65872.45,7924.67
ORD-100139,1/29/2024,2/3/2024,Standard Class,CUST-01428,Ayaan Rao,Consumer,Central,Chhattisgarh,Raipur,Furniture,Sofas,7,20118.74,0.3,98581.83,14786.56
ORD-100140,3/6/2023,3/7/2023,Standard Class,CUST-00889,Ananya Kapoor,Home Office,West,Goa,Panaji,Office Supplies,Binders,3,2111.86,0,6335.58,1868.13
ORD-100141,3/29/2023,3/31/2023,Same Day,CUST-01742,Ananya Sharma,Home Office,South,Telangana,Hyderabad,Furniture,Chairs,9,22338.13,0,201043.17,17611.19
ORD-100142,3/26/2025,3/27/2025,First Class,CUST-00287,Aditya Pillai,Home Office,East,Odisha,Bhubaneswar,Office Supplies,Labels,6,1139.24,0.2,5468.35,576.23
ORD-100143,4/20/2024,4/27/2024,Second Class,CUST-00729,Kiara Chopra,Consumer,North,Haryana,Faridabad,Technology,Accessories,13,26233.47,0.3,238724.58,14081.31
ORD-100144,6/25/2023,7/2/2023,Standard Class,CUST-00649,Diya Reddy,Corporate,Central,Chhattisgarh,Raipur,Technology,Phones,12,21219.11,0,254629.32,47274.77
ORD-100145,7/6/2024,7/7/2024,Standard Class,CUST-01136,Aditya Shah,Home Office,South,Karnataka,Bengaluru,Office Supplies,Envelopes,2,873.89,0,1747.78,418.64
ORD-100146,8/20/2024,8/24/2024,Standard Class,CUST-00551,Ishaan Kumar,Home Office,West,Maharashtra,Nagpur,Technology,Laptops,11,1857.26,0.2,16343.89,969.8
ORD-100147,5/12/2025,5/15/2025,Second Class,CUST-00278,Ishaan Sharma,Home Office,West,Maharashtra,Pune,Furniture,Tables,10,20706.93,0.05,196715.83,18105.36
ORD-100148,11/5/2024,11/9/2024,Standard Class,CUST-01984,Ananya Rao,Home Office,East,Jharkhand,Ranchi,Office Supplies,Envelopes,6,398.64,0,2391.84,528.61
ORD-100149,5/11/2024,5/14/2024,Second Class,CUST-01127,Aarav Bose,Consumer,West,Rajasthan,Jodhpur,Office Supplies,Envelopes,9,2314.58,0,20831.22,2880.37
